region,COPD_mortality_15_year_women,COPD_mortality_15_year_men,COPD_mortality_15_year_total,COPD_mortality_25_year_women,COPD_mortality_25_year_men,COPD_mortality_25_year_total,COPD_mortality_15_year_women_age_standarized,COPD_mortality_15_year_men_age_standarized,COPD_mortality_15_year_total_age_standarized,COPD_mortality_25_year_women_age_standarized,COPD_mortality_25_year_men_age_standarized,COPD_mortality_25_year_total_age_standarized
01_Stockholm_county,79.1,63.0,71.1,91.2,73.4,82.5,82.0,93.9,86.6,97.5,111.7,103.0
03_Uppsala_county,74.5,70.7,72.6,88.3,84.4,86.3,70.5,88.8,77.7,83.9,105.6,92.4
04_Södermanland_county,101.0,105.6,103.3,116.5,123.6,120.0,78.1,108.5,89.9,92.9,129.1,106.9
05_Östergötland_county,98.7,97.8,98.2,115.8,116.5,116.1,80.2,108.9,90.9,95.4,129.5,108.1
06_Jönköping_county,88.4,98.1,93.3,103.1,116.3,109.7,69.0,105.7,83.0,82.1,125.8,98.8
07_Kronoberg_county,107.7,95.9,101.7,125.7,113.5,119.6,81.8,100.0,88.2,97.3,119.0,104.9
08_Kalmar_county,107.4,110.6,109.0,123.2,128.9,126.0,75.4,102.2,85.8,89.7,121.6,102.0
09_Gotland_county,91.7,105.0,98.3,104.5,122.5,113.3,67.3,105.7,81.6,80.0,125.7,97.0
10_Blekinge_county,92.9,95.2,94.1,106.4,112.0,109.2,67.0,90.8,75.8,79.7,108.0,90.2
12_Skåne_county,92.5,78.0,85.3,107.3,91.5,99.5,78.6,90.1,82.6,93.5,107.1,98.2
13_Halland_county,75.9,73.3,74.6,87.5,86.1,86.8,59.4,76.9,65.8,70.7,91.5,78.2
14_Västra_Götaland_county,89.5,77.2,83.4,104.0,90.7,97.4,77.1,90.5,81.7,91.7,107.6,97.1
17_Värmland_county,100.4,93.7,97.0,115.8,109.6,112.8,71.5,90.3,77.9,85.1,107.4,92.7
18_Örebro_county,89.8,84.0,86.9,105.3,99.6,102.5,72.3,92.1,79.4,86.0,109.6,94.4
19_Västmanland_county,105.0,87.9,96.5,121.3,103.2,112.3,82.9,90.9,85.1,98.6,108.1,101.3
20_Dalarna_county,93.5,83.3,88.4,106.7,97.1,101.9,67.3,79.7,71.5,80.0,94.8,85.0
21_Gävleborg_county,101.4,84.6,93.0,116.5,98.8,107.7,75.7,85.8,78.0,90.1,102.0,92.7
22_Västernorrland_county,96.7,92.7,94.7,110.5,107.7,109.1,70.0,93.2,77.9,83.2,110.9,92.7
23_Jämtland_county,106.7,87.0,96.8,122.4,101.3,111.8,78.2,85.3,80.8,93.0,101.4,96.1
24_Västerbotten_county,79.5,61.4,70.4,93.6,73.0,83.3,64.1,67.5,64.9,76.3,80.3,77.2
25_Norrbotten_county,93.6,85.5,89.5,107.5,100.8,104.1,68.4,89.0,75.4,81.4,105.9,89.7
