"region","age","sex","2019"
"01 Stockholm county","0 years","men",7307.5
"01 Stockholm county","0 years","women",6929.5
"01 Stockholm county","1 year","men",14844.0
"01 Stockholm county","1 year","women",14071.5
"01 Stockholm county","2 years","men",14775.0
"01 Stockholm county","2 years","women",14459.5
"01 Stockholm county","3 years","men",15371.0
"01 Stockholm county","3 years","women",14712.5
"01 Stockholm county","4 years","men",15492.5
"01 Stockholm county","4 years","women",14300.5
"01 Stockholm county","5 years","men",15518.0
"01 Stockholm county","5 years","women",14612.5
"01 Stockholm county","6 years","men",15507.5
"01 Stockholm county","6 years","women",14353.5
"01 Stockholm county","7 years","men",15138.0
"01 Stockholm county","7 years","women",14324.0
"01 Stockholm county","8 years","men",15204.5
"01 Stockholm county","8 years","women",14229.5
"01 Stockholm county","9 years","men",15807.0
"01 Stockholm county","9 years","women",14834.0
"01 Stockholm county","10 years","men",15208.5
"01 Stockholm county","10 years","women",14363.0
"01 Stockholm county","11 years","men",15281.0
"01 Stockholm county","11 years","women",14288.0
"01 Stockholm county","12 years","men",14928.0
"01 Stockholm county","12 years","women",13924.0
"01 Stockholm county","13 years","men",14655.0
"01 Stockholm county","13 years","women",13833.5
"01 Stockholm county","14 years","men",14019.0
"01 Stockholm county","14 years","women",13446.5
"01 Stockholm county","15 years","men",14080.5
"01 Stockholm county","15 years","women",13285.5
"01 Stockholm county","16 years","men",13689.0
"01 Stockholm county","16 years","women",12858.5
"01 Stockholm county","17 years","men",13268.0
"01 Stockholm county","17 years","women",12591.5
"01 Stockholm county","18 years","men",12820.0
"01 Stockholm county","18 years","women",12009.0
"01 Stockholm county","19 years","men",13069.0
"01 Stockholm county","19 years","women",11777.5
"01 Stockholm county","20 years","men",13424.5
"01 Stockholm county","20 years","women",11290.5
"01 Stockholm county","21 years","men",12246.5
"01 Stockholm county","21 years","women",11308.5
"01 Stockholm county","22 years","men",12131.0
"01 Stockholm county","22 years","women",11490.0
"01 Stockholm county","23 years","men",12728.5
"01 Stockholm county","23 years","women",12558.5
"01 Stockholm county","24 years","men",14409.0
"01 Stockholm county","24 years","women",13814.0
"01 Stockholm county","25 years","men",16114.5
"01 Stockholm county","25 years","women",15767.5
"01 Stockholm county","26 years","men",17039.0
"01 Stockholm county","26 years","women",17012.5
"01 Stockholm county","27 years","men",18264.0
"01 Stockholm county","27 years","women",18304.0
"01 Stockholm county","28 years","men",19167.5
"01 Stockholm county","28 years","women",18974.0
"01 Stockholm county","29 years","men",19819.5
"01 Stockholm county","29 years","women",20168.0
"01 Stockholm county","30 years","men",19781.0
"01 Stockholm county","30 years","women",19481.5
"01 Stockholm county","31 years","men",19585.0
"01 Stockholm county","31 years","women",19417.0
"01 Stockholm county","32 years","men",18937.0
"01 Stockholm county","32 years","women",18557.5
"01 Stockholm county","33 years","men",19038.0
"01 Stockholm county","33 years","women",18387.0
"01 Stockholm county","34 years","men",18664.5
"01 Stockholm county","34 years","women",17831.0
"01 Stockholm county","35 years","men",18412.5
"01 Stockholm county","35 years","women",17473.5
"01 Stockholm county","36 years","men",17899.0
"01 Stockholm county","36 years","women",17043.5
"01 Stockholm county","37 years","men",18113.0
"01 Stockholm county","37 years","women",16946.5
"01 Stockholm county","38 years","men",17818.0
"01 Stockholm county","38 years","women",16768.0
"01 Stockholm county","39 years","men",18341.5
"01 Stockholm county","39 years","women",17298.5
"01 Stockholm county","40 years","men",17267.0
"01 Stockholm county","40 years","women",16399.0
"01 Stockholm county","41 years","men",16493.5
"01 Stockholm county","41 years","women",15828.0
"01 Stockholm county","42 years","men",16379.5
"01 Stockholm county","42 years","women",15689.5
"01 Stockholm county","43 years","men",16659.5
"01 Stockholm county","43 years","women",15947.0
"01 Stockholm county","44 years","men",16877.5
"01 Stockholm county","44 years","women",16163.5
"01 Stockholm county","45 years","men",17480.5
"01 Stockholm county","45 years","women",16961.5
"01 Stockholm county","46 years","men",17149.0
"01 Stockholm county","46 years","women",16703.0
"01 Stockholm county","47 years","men",17392.0
"01 Stockholm county","47 years","women",16589.0
"01 Stockholm county","48 years","men",16816.5
"01 Stockholm county","48 years","women",16452.5
"01 Stockholm county","49 years","men",16003.0
"01 Stockholm county","49 years","women",15670.5
"01 Stockholm county","50 years","men",15312.0
"01 Stockholm county","50 years","women",15034.5
"01 Stockholm county","51 years","men",15489.5
"01 Stockholm county","51 years","women",15520.0
"01 Stockholm county","52 years","men",16024.0
"01 Stockholm county","52 years","women",15606.0
"01 Stockholm county","53 years","men",16255.0
"01 Stockholm county","53 years","women",15934.5
"01 Stockholm county","54 years","men",16150.0
"01 Stockholm county","54 years","women",15865.0
"01 Stockholm county","55 years","men",16264.0
"01 Stockholm county","55 years","women",15865.5
"01 Stockholm county","56 years","men",14753.5
"01 Stockholm county","56 years","women",14531.5
"01 Stockholm county","57 years","men",13973.5
"01 Stockholm county","57 years","women",13889.0
"01 Stockholm county","58 years","men",13274.0
"01 Stockholm county","58 years","women",12994.0
"01 Stockholm county","59 years","men",12700.0
"01 Stockholm county","59 years","women",12630.0
"01 Stockholm county","60 years","men",12379.5
"01 Stockholm county","60 years","women",12157.5
"01 Stockholm county","61 years","men",12080.0
"01 Stockholm county","61 years","women",12113.5
"01 Stockholm county","62 years","men",12079.5
"01 Stockholm county","62 years","women",11896.5
"01 Stockholm county","63 years","men",11764.0
"01 Stockholm county","63 years","women",11547.5
"01 Stockholm county","64 years","men",10949.5
"01 Stockholm county","64 years","women",11146.0
"01 Stockholm county","65 years","men",10537.0
"01 Stockholm county","65 years","women",10668.0
"01 Stockholm county","66 years","men",10288.0
"01 Stockholm county","66 years","women",10674.0
"01 Stockholm county","67 years","men",10127.5
"01 Stockholm county","67 years","women",10485.5
"01 Stockholm county","68 years","men",9427.0
"01 Stockholm county","68 years","women",10307.0
"01 Stockholm county","69 years","men",9841.0
"01 Stockholm county","69 years","women",10473.0
"01 Stockholm county","70 years","men",9596.5
"01 Stockholm county","70 years","women",10758.5
"01 Stockholm county","71 years","men",9829.0
"01 Stockholm county","71 years","women",11166.5
"01 Stockholm county","72 years","men",10072.0
"01 Stockholm county","72 years","women",11358.0
"01 Stockholm county","73 years","men",9893.0
"01 Stockholm county","73 years","women",11221.0
"01 Stockholm county","74 years","men",9855.0
"01 Stockholm county","74 years","women",11037.5
"01 Stockholm county","75 years","men",9507.5
"01 Stockholm county","75 years","women",10750.5
"01 Stockholm county","76 years","men",8659.0
"01 Stockholm county","76 years","women",9709.5
"01 Stockholm county","77 years","men",7545.0
"01 Stockholm county","77 years","women",8737.0
"01 Stockholm county","78 years","men",6358.0
"01 Stockholm county","78 years","women",7540.5
"01 Stockholm county","79 years","men",5763.0
"01 Stockholm county","79 years","women",6580.5
"01 Stockholm county","80 years","men",5283.5
"01 Stockholm county","80 years","women",6412.0
"01 Stockholm county","81 years","men",4767.5
"01 Stockholm county","81 years","women",6053.5
"01 Stockholm county","82 years","men",4097.0
"01 Stockholm county","82 years","women",5425.0
"01 Stockholm county","83 years","men",3723.0
"01 Stockholm county","83 years","women",5070.0
"01 Stockholm county","84 years","men",3311.5
"01 Stockholm county","84 years","women",4435.5
"01 Stockholm county","85 years","men",2747.0
"01 Stockholm county","85 years","women",4055.5
"01 Stockholm county","86 years","men",2483.5
"01 Stockholm county","86 years","women",3703.5
"01 Stockholm county","87 years","men",2183.0
"01 Stockholm county","87 years","women",3621.5
"01 Stockholm county","88 years","men",1949.5
"01 Stockholm county","88 years","women",3347.5
"01 Stockholm county","89 years","men",1604.0
"01 Stockholm county","89 years","women",3044.0
"01 Stockholm county","90 years","men",1300.0
"01 Stockholm county","90 years","women",2626.0
"01 Stockholm county","91 years","men",1118.0
"01 Stockholm county","91 years","women",2363.0
