"region","household size","2019"
"01 Stockholm county","1 person",406334
"01 Stockholm county","2 persons",286522
"01 Stockholm county","3 persons",135755
"01 Stockholm county","4 persons",135563
"01 Stockholm county","5 persons",50450
"01 Stockholm county","6 persons",15377
"01 Stockholm county","7 persons or more",12018
"01 Stockholm county","all households",1042019
"03 Uppsala county","1 person",69891
"03 Uppsala county","2 persons",52542
"03 Uppsala county","3 persons",20562
"03 Uppsala county","4 persons",20452
"03 Uppsala county","5 persons",7776
"03 Uppsala county","6 persons",2276
"03 Uppsala county","7 persons or more",1539
"03 Uppsala county","all households",175038
"04 Södermanland county","1 person",53736
"04 Södermanland county","2 persons",43230
"04 Södermanland county","3 persons",15450
"04 Södermanland county","4 persons",14670
"04 Södermanland county","5 persons",5692
"04 Södermanland county","6 persons",1900
"04 Södermanland county","7 persons or more",1480
"04 Södermanland county","all households",136158
"05 Östergötland county","1 person",87787
"05 Östergötland county","2 persons",68280
"05 Östergötland county","3 persons",24095
"05 Östergötland county","4 persons",24206
"05 Östergötland county","5 persons",8507
"05 Östergötland county","6 persons",2532
"05 Östergötland county","7 persons or more",1721
"05 Östergötland county","all households",217128
"06 Jönköping county","1 person",61264
"06 Jönköping county","2 persons",51619
"06 Jönköping county","3 persons",18271
"06 Jönköping county","4 persons",19585
"06 Jönköping county","5 persons",8014
"06 Jönköping county","6 persons",2280
"06 Jönköping county","7 persons or more",1493
"06 Jönköping county","all households",162526
"07 Kronoberg county","1 person",35775
"07 Kronoberg county","2 persons",29035
"07 Kronoberg county","3 persons",10182
"07 Kronoberg county","4 persons",10674
"07 Kronoberg county","5 persons",3990
"07 Kronoberg county","6 persons",1197
"07 Kronoberg county","7 persons or more",875
"07 Kronoberg county","all households",91728
"08 Kalmar county","1 person",47700
"08 Kalmar county","2 persons",38658
"08 Kalmar county","3 persons",12291
"08 Kalmar county","4 persons",11950
"08 Kalmar county","5 persons",4371
"08 Kalmar county","6 persons",1264
"08 Kalmar county","7 persons or more",763
"08 Kalmar county","all households",116997
"09 Gotland county","1 person",11589
"09 Gotland county","2 persons",8826
"09 Gotland county","3 persons",3189
"09 Gotland county","4 persons",2858
"09 Gotland county","5 persons",1082
"09 Gotland county","6 persons",360
"09 Gotland county","7 persons or more",227
"09 Gotland county","all households",28131
"10 Blekinge county","1 person",30189
"10 Blekinge county","2 persons",24404
"10 Blekinge county","3 persons",8063
"10 Blekinge county","4 persons",8124
"10 Blekinge county","5 persons",2881
"10 Blekinge county","6 persons",868
"10 Blekinge county","7 persons or more",524
"10 Blekinge county","all households",75053
"12 Skåne county","1 person",243315
"12 Skåne county","2 persons",187147
"12 Skåne county","3 persons",74524
"12 Skåne county","4 persons",75210
"12 Skåne county","5 persons",26999
"12 Skåne county","6 persons",8486
"12 Skåne county","7 persons or more",5859
"12 Skåne county","all households",621540
"13 Halland county","1 person",51668
"13 Halland county","2 persons",47637
"13 Halland county","3 persons",17241
"13 Halland county","4 persons",19913
"13 Halland county","5 persons",6952
"13 Halland county","6 persons",1829
"13 Halland county","7 persons or more",1178
"13 Halland county","all households",146418
"14 Västra Götaland county","1 person",309894
"14 Västra Götaland county","2 persons",237577
"14 Västra Götaland county","3 persons",92920
"14 Västra Götaland county","4 persons",94093
"14 Västra Götaland county","5 persons",32874
"14 Västra Götaland county","6 persons",9942
"14 Västra Götaland county","7 persons or more",7328
"14 Västra Götaland county","all households",784628
"17 Värmland county","1 person",58798
"17 Värmland county","2 persons",44003
"17 Värmland county","3 persons",14790
"17 Värmland county","4 persons",13690
"17 Värmland county","5 persons",4570
"17 Värmland county","6 persons",1287
"17 Värmland county","7 persons or more",727
"17 Värmland county","all households",137865
"18 Örebro county","1 person",60435
"18 Örebro county","2 persons",44886
"18 Örebro county","3 persons",15593
"18 Örebro county","4 persons",15216
