"region","sex","Population density per sq. km 2019","Land area sq. km 2019"
"01 Stockholm county","total",364.9,6513.83
"03 Uppsala county","total",46.9,8189.28
"04 Södermanland county","total",49.0,6071.83
"05 Östergötland county","total",44.1,10557.43
"06 Jönköping county","total",34.8,10436.45
"07 Kronoberg county","total",23.9,8423.28
"08 Kalmar county","total",22.0,11159.80
"09 Gotland county","total",19.0,3134.44
"10 Blekinge county","total",54.4,2931.25
"12 Skåne county","total",125.7,10965.04
"13 Halland county","total",61.5,5426.59
"14 Västra Götaland county","total",72.5,23800.38
"17 Värmland county","total",16.1,17519.24
"18 Örebro county","total",35.8,8503.99
"19 Västmanland county","total",53.9,5117.28
"20 Dalarna county","total",10.3,28030.12
"21 Gävleborg county","total",15.9,18113.25
"22 Västernorrland county","total",11.4,21548.49
"23 Jämtland county","total",2.7,48935.24
"24 Västerbotten county","total",5.0,54664.43
"25 Norrbotten county","total",2.6,97241.87
