"region","sex","2019"
"01 Stockholm county","men",1190016
"01 Stockholm county","women",1187065
"01 Stockholm county","total",2377081
"03 Uppsala county","men",192221
"03 Uppsala county","women",191492
"03 Uppsala county","total",383713
"04 Södermanland county","men",149438
"04 Södermanland county","women",148102
"04 Södermanland county","total",297540
"05 Östergötland county","men",235926
"05 Östergötland county","women",229569
"05 Östergötland county","total",465495
"06 Jönköping county","men",184259
"06 Jönköping county","women",179340
"06 Jönköping county","total",363599
"07 Kronoberg county","men",102792
"07 Kronoberg county","women",98677
"07 Kronoberg county","total",201469
"08 Kalmar county","men",123956
"08 Kalmar county","women",121490
"08 Kalmar county","total",245446
"09 Gotland county","men",29816
"09 Gotland county","women",29870
"09 Gotland county","total",59686
"10 Blekinge county","men",81424
"10 Blekinge county","women",78182
"10 Blekinge county","total",159606
"12 Skåne county","men",688086
"12 Skåne county","women",689741
"12 Skåne county","total",1377827
"13 Halland county","men",167500
"13 Halland county","women",166348
"13 Halland county","total",333848
"14 Västra Götaland county","men",869609
"14 Västra Götaland county","women",856272
"14 Västra Götaland county","total",1725881
"17 Värmland county","men",142280
"17 Värmland county","women",140134
"17 Värmland county","total",282414
"18 Örebro county","men",152851
"18 Örebro county","women",151954
"18 Örebro county","total",304805
"19 Västmanland county","men",139089
"19 Västmanland county","women",136756
"19 Västmanland county","total",275845
"20 Dalarna county","men",145641
"20 Dalarna county","women",142325
"20 Dalarna county","total",287966
"21 Gävleborg county","men",144622
"21 Gävleborg county","women",142760
"21 Gävleborg county","total",287382
"22 Västernorrland county","men",123982
"22 Västernorrland county","women",121365
"22 Västernorrland county","total",245347
"23 Jämtland county","men",66314
"23 Jämtland county","women",64496
"23 Jämtland county","total",130810
"24 Västerbotten county","men",137706
"24 Västerbotten county","women",134030
"24 Västerbotten county","total",271736
"25 Norrbotten county","men",128286
"25 Norrbotten county","women",121807
"25 Norrbotten county","total",250093
