Regionskod,Enhetsnamn,care_places_per_1000_inhabitants,,
01,Stockholm,2.051811252,,
03,Uppsala,2.145453483,,
04,Sörmland,2.3061131,,
05,Östergötland,1.970176545,,
06,Jönköping,2.000138571,,
07,Kronoberg,2.436388742,,
08,Kalmar,2.329832765,,
09,Gotland,2.579452818,,
10,Blekinge,2.268229754,,
12,Skåne,2.06364627,,
13,Halland,1.764070053,,
14,Västra Götaland,2.111750167,,
17,Värmland,2.29748261,,
18,Örebro,2.143774069,,
19,Västmanland,2.239996495,,
20,Dalarna,2.065634816,,
21,Gävleborg,1.919196502,,
22,Västernorrland,2.509115798,,
23,Jämtland Härjedalen,2.067853853,,
24,Västerbotten,2.711786611,,
25,Norrbotten,2.323381118,,
