region,1_person,2_persons,3_persons,4_persons,5_persons,6_persons,7_persons_or_more,all_households
01_Stockholm_county,406334,286522,135755,135563,50450,15377,12018,1042019
03_Uppsala_county,69891,52542,20562,20452,7776,2276,1539,175038
04_Södermanland_county,53736,43230,15450,14670,5692,1900,1480,136158
05_Östergötland_county,87787,68280,24095,24206,8507,2532,1721,217128
06_Jönköping_county,61264,51619,18271,19585,8014,2280,1493,162526
07_Kronoberg_county,35775,29035,10182,10674,3990,1197,875,91728
08_Kalmar_county,47700,38658,12291,11950,4371,1264,763,116997
09_Gotland_county,11589,8826,3189,2858,1082,360,227,28131
10_Blekinge_county,30189,24404,8063,8124,2881,868,524,75053
12_Skåne_county,243315,187147,74524,75210,26999,8486,5859,621540
13_Halland_county,51668,47637,17241,19913,6952,1829,1178,146418
14_Västra_Götaland_county,309894,237577,92920,94093,32874,9942,7328,784628
17_Värmland_county,58798,44003,14790,13690,4570,1287,727,137865
18_Örebro_county,60435,44886,15593,15216,5369,1697,1183,144379
19_Västmanland_county,52173,40456,14342,13765,5106,1568,1164,128574
20_Dalarna_county,56487,44330,14943,13641,5090,1507,1070,137068
21_Gävleborg_county,58652,43860,15128,13906,4768,1483,873,138670
22_Västernorrland_county,48733,37725,13015,12222,4135,1116,723,117669
23_Jämtland_county,27624,19115,6739,6562,2326,649,369,63384
24_Västerbotten_county,54604,41160,13715,13858,4952,1254,732,130275
25_Norrbotten_county,52757,39600,13354,11779,3769,1098,666,123023
