region,18+_years_mean,18+_years_median,18-29_years_mean,18-29_years_median,30-49_years_mean,30-49_years_median,50-64_years_mean,50-64_years_median,65+_years_mean,65+_years_median,65-79_years_mean,65-79_years_median,80+_years_mean,80+_years_median
01_Stockholm_county,590.7,433.7,389.8,326.3,663.1,542.2,710.2,529.1,457.4,287.8,505.1,330.7,332.9,204.7
03_Uppsala_county,473.0,378.9,310.5,261.5,550.0,508.3,589.1,511.7,380.2,275.2,419.3,316.1,279.9,185.0
04_Södermanland_county,439.5,350.1,340.3,286.5,507.8,466.0,528.4,461.4,343.4,258.0,382.6,298.1,248.5,179.2
05_Östergötland_county,449.7,352.9,311.6,263.4,525.6,489.1,561.9,479.8,352.9,254.5,396.1,295.4,255.3,176.3
06_Jönköping_county,459.9,374.7,350.5,291.9,534.7,514.1,571.9,509.4,342.2,257.3,389.5,305.3,244.4,171.9
07_Kronoberg_county,478.2,356.8,320.3,270.4,516.5,491.3,707.4,485.9,338.0,253.2,387.8,304.5,236.2,172.5
08_Kalmar_county,418.3,338.1,329.2,282.2,494.0,474.7,515.0,462.5,319.6,241.9,358.3,284.7,234.5,171.5
09_Gotland_county,424.4,333.7,325.8,262.2,500.6,466.8,509.4,446.0,331.3,237.9,368.0,276.7,238.5,172.5
10_Blekinge_county,420.3,341.2,312.9,266.8,503.9,481.3,523.7,470.9,311.2,245.3,348.4,287.6,231.9,174.4
12_Skåne_county,457.1,357.0,325.6,271.8,518.1,468.8,565.0,469.1,358.2,252.8,400.3,295.2,262.3,180.6
13_Halland_county,508.0,408.4,365.5,306.6,592.0,551.1,631.4,537.5,378.6,277.8,426.5,323.4,271.7,182.3
14_Västra_Götaland_county,473.5,373.1,352.4,296.5,542.9,495.7,585.8,492.0,354.1,253.9,395.9,298.0,258.4,177.1
17_Värmland_county,400.6,324.8,299.1,254.7,478.5,444.8,488.7,433.9,308.1,237.5,345.4,283.0,228.1,171.9
18_Örebro_county,415.1,335.6,306.2,258.9,493.6,455.0,507.3,446.0,318.0,244.5,351.4,285.3,236.7,174.0
19_Västmanland_county,441.3,355.8,340.4,288.2,515.9,474.8,535.8,469.4,333.5,255.9,371.1,297.3,249.0,179.6
20_Dalarna_county,411.7,336.2,326.4,275.1,485.6,452.3,499.7,449.8,313.4,244.7,345.9,285.5,236.7,172.7
21_Gävleborg_county,405.7,330.2,317.0,266.0,483.0,444.9,491.8,435.1,305.5,235.5,337.5,277.6,229.5,172.8
22_Västernorrland_county,416.4,341.1,317.2,268.3,494.8,465.2,513.2,461.7,309.9,245.0,342.8,287.1,233.9,174.7
23_Jämtland_county,405.0,324.1,314.2,260.7,481.9,446.2,493.0,429.1,303.2,225.4,336.8,267.1,222.1,168.2
24_Västerbotten_county,418.9,344.5,291.8,242.3,491.7,472.3,530.6,483.1,329.2,255.6,369.1,298.7,239.3,174.5
25_Norrbotten_county,417.2,344.7,329.0,278.1,504.2,479.6,514.2,467.4,303.5,242.0,336.1,285.2,228.0,174.6
