region,smoke_daily_women_per_cent,smoke_daily_men_per_cent,smoke_daily_total_per_cent
01_Stockholm_county,8,8,8
03_Uppsala_county,8,5,6
04_Södermanland_county,11,9,10
05_Östergötland_county,9,7,8
06_Jönköping_county,10,8,9
07_Kronoberg_county,6,10,8
08_Kalmar_county,11,5,8
09_Gotland_county,10,8,9
10_Blekinge_county,12,8,10
12_Skåne_county,11,11,11
13_Halland_county,12,5,9
14_Västra_Götaland_county,10,8,9
17_Värmland_county,11,8,9
18_Örebro_county,8,10,9
19_Västmanland_county,9,6,8
20_Dalarna_county,5,7,6
21_Gävleborg_county,11,5,8
22_Västernorrland_county,9,7,8
23_Jämtland_county,9,8,9
24_Västerbotten_county,7,3,5
25_Norrbotten_county,9,8,8
